uncertainty_id,page_id,year,document_id,document_page_number,text,source_json_path
uncertainty:2016-1:0066:001,page:2016-1:0066,2016,2016-1,66,"{""field"":""asset_name"",""note"":""'Opportunitites' is the spelling as printed (tesseract agrees); transcribed verbatim"",""read"":""York Credit Opportunitites Fund"",""row"":1}",docs/2016-1/text/page-066.json
uncertainty:2016-1:0066:002,page:2016-1:0066,2016,2016-1,66,"{""field"":""income_types"",""note"":""black-filled selection only; no write-in specification text anywhere in the column"",""read"":""Other Type of Income"",""row"":1}",docs/2016-1/text/page-066.json
uncertainty:2016-1:0067:001,page:2016-1:0067,2016,2016-1,67,"{""field"":""asset_name"",""note"":""row is smudged/bolded in scan; tesseract read 'AUCKION PARRMACEUTICALS INC CHIN' but quad crop clearly reads ALEXION PHARMACEUTICALS INC CMN"",""read"":""ALEXION PHARMACEUTICALS INC CMN"",""row"":40}",docs/2016-1/text/page-067.json
uncertainty:2016-1:0081:001,page:2016-1:0081,2016,2016-1,81,"{""field"":""amount_of_income_preceding_year"",""note"":""EDWARDS LIFESCIENCES X sits one column right of the $1-$200 Xs of adjacent rows; confirmed at $201-$1,000 in both BL quad and full page, but noting because the BR quad X vertical position is between rows 33 and 34."",""read"":""$201-$1,000"",""row"":34}",docs/2016-1/text/page-081.json
uncertainty:2016-1:0084:001,page:2016-1:0084,2016,2016-1,84,"{""field"":""amount_of_income_preceding_year"",""note"":""GLOBAL PMTS INC CMN has NO X in any bucket column of this block (checked full page, BL and BR quads); every other row has exactly one X. Recorded as null."",""read"":null,""row"":30}",docs/2016-1/text/page-084.json
uncertainty:2016-1:0084:002,page:2016-1:0084,2016,2016-1,84,"{""field"":""asset_name"",""note"":""Row text and its X ($1-$200 column) are smudged/over-printed on this page; name confirmed against clean printing of same list on pages 82-83/116."",""read"":""HALLIBURTON COMPANY CMN"",""row"":35}",docs/2016-1/text/page-084.json
uncertainty:2016-1:0088:001,page:2016-1:0088,2016,2016-1,88,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan; trailing characters after 'SERIES 201' not visible"",""read"":""PHILADELPHIA PA. (CITY OF) GO 5.0000% 08/01/16 FA GEN OB BONDS, SERIES 201..."",""row"":34}",docs/2016-1/text/page-088.json
uncertainty:2016-1:0088:002,page:2016-1:0088,2016,2016-1,88,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan; 'JJ' per image (tesseract read 'J'); text after 'AMT' not visible"",""read"":""IND ST FIN AUTH REV 5.0000% 01/01/19-CA JJ PRIVATE ACTIVITY-OHIO RIVER AMT..."",""row"":35}",docs/2016-1/text/page-088.json
uncertainty:2016-1:0088:003,page:2016-1:0088,2016,2016-1,88,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan"",""read"":""N Y ST ENV FACS CORP REV 5.0000% 05/15/19 MN REVOLVING FDS-MASTER FING..."",""row"":36}",docs/2016-1/text/page-088.json
uncertainty:2016-1:0088:004,page:2016-1:0088,2016,2016-1,88,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan; last visible characters 'SECD-SU' (tesseract 'SECD-St')"",""read"":""NY TRANS FIN AUTH 11/14/2013 REV 5.0000% 11/01/19 MN FUTURE TAX SECD-SU..."",""row"":37}",docs/2016-1/text/page-088.json
uncertainty:2016-1:0088:005,page:2016-1:0088,2016,2016-1,88,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan"",""read"":""DORM AUTH OF THE STATE OF NY REV 5.0000% 03/15/19 MS STATE SALES TAX RE..."",""row"":38}",docs/2016-1/text/page-088.json
uncertainty:2016-1:0088:006,page:2016-1:0088,2016,2016-1,88,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan; last visible characters 'RFDG-HOT'"",""read"":""NEW YORK CONVENTION CTR DEV REV 3% 11/15/18 MN CORP N Y REV RFDG-HOT..."",""row"":39}",docs/2016-1/text/page-088.json
uncertainty:2016-1:0088:007,page:2016-1:0088,2016,2016-1,88,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan; text after 'FISCAL 20' not visible"",""read"":""THE CITY OF NEW YORK GO 5.0000% 08/01/22 FA GEN OBLIGATION BD FISCAL 20..."",""row"":41}",docs/2016-1/text/page-088.json
uncertainty:2016-1:0089:001,page:2016-1:0089,2016,2016-1,89,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan (same asset list as pdf page 88)"",""read"":""PHILADELPHIA PA. (CITY OF) GO 5.0000% 08/01/16 FA GEN OB BONDS, SERIES 201..."",""row"":34}",docs/2016-1/text/page-089.json
uncertainty:2016-1:0089:002,page:2016-1:0089,2016,2016-1,89,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan"",""read"":""IND ST FIN AUTH REV 5.0000% 01/01/19-CA JJ PRIVATE ACTIVITY-OHIO RIVER AMT..."",""row"":35}",docs/2016-1/text/page-089.json
uncertainty:2016-1:0089:003,page:2016-1:0089,2016,2016-1,89,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan"",""read"":""N Y ST ENV FACS CORP REV 5.0000% 05/15/19 MN REVOLVING FDS-MASTER FING..."",""row"":36}",docs/2016-1/text/page-089.json
uncertainty:2016-1:0089:004,page:2016-1:0089,2016,2016-1,89,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan"",""read"":""NY TRANS FIN AUTH 11/14/2013 REV 5.0000% 11/01/19 MN FUTURE TAX SECD-SU..."",""row"":37}",docs/2016-1/text/page-089.json
uncertainty:2016-1:0089:005,page:2016-1:0089,2016,2016-1,89,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan"",""read"":""DORM AUTH OF THE STATE OF NY REV 5.0000% 03/15/19 MS STATE SALES TAX RE..."",""row"":38}",docs/2016-1/text/page-089.json
uncertainty:2016-1:0089:006,page:2016-1:0089,2016,2016-1,89,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan"",""read"":""NEW YORK CONVENTION CTR DEV REV 3% 11/15/18 MN CORP N Y REV RFDG-HOT..."",""row"":39}",docs/2016-1/text/page-089.json
uncertainty:2016-1:0089:007,page:2016-1:0089,2016,2016-1,89,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan"",""read"":""THE CITY OF NEW YORK GO 5.0000% 08/01/22 FA GEN OBLIGATION BD FISCAL 20..."",""row"":41}",docs/2016-1/text/page-089.json
uncertainty:2016-1:0090:001,page:2016-1:0090,2016,2016-1,90,"{""field"":""amount_of_income_preceding_year"",""note"":""KOMATSU MINING CORP. CMN row has no X in any Amount of Income column on this page (verified in full page and quadrant crops; tesseract also shows no mark). Left null."",""read"":null,""row"":6}",docs/2016-1/text/page-090.json
uncertainty:2016-1:0090:002,page:2016-1:0090,2016,2016-1,90,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan (same asset list as pdf page 88)"",""read"":""PHILADELPHIA PA. (CITY OF) GO 5.0000% 08/01/16 FA GEN OB BONDS, SERIES 201..."",""row"":34}",docs/2016-1/text/page-090.json
uncertainty:2016-1:0090:003,page:2016-1:0090,2016,2016-1,90,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan"",""read"":""IND ST FIN AUTH REV 5.0000% 01/01/19-CA JJ PRIVATE ACTIVITY-OHIO RIVER AMT..."",""row"":35}",docs/2016-1/text/page-090.json
uncertainty:2016-1:0090:004,page:2016-1:0090,2016,2016-1,90,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan"",""read"":""N Y ST ENV FACS CORP REV 5.0000% 05/15/19 MN REVOLVING FDS-MASTER FING..."",""row"":36}",docs/2016-1/text/page-090.json
uncertainty:2016-1:0090:005,page:2016-1:0090,2016,2016-1,90,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan"",""read"":""NY TRANS FIN AUTH 11/14/2013 REV 5.0000% 11/01/19 MN FUTURE TAX SECD-SU..."",""row"":37}",docs/2016-1/text/page-090.json
uncertainty:2016-1:0090:006,page:2016-1:0090,2016,2016-1,90,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan"",""read"":""DORM AUTH OF THE STATE OF NY REV 5.0000% 03/15/19 MS STATE SALES TAX RE..."",""row"":38}",docs/2016-1/text/page-090.json
uncertainty:2016-1:0090:007,page:2016-1:0090,2016,2016-1,90,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan"",""read"":""NEW YORK CONVENTION CTR DEV REV 3% 11/15/18 MN CORP N Y REV RFDG-HOT..."",""row"":39}",docs/2016-1/text/page-090.json
uncertainty:2016-1:0090:008,page:2016-1:0090,2016,2016-1,90,"{""field"":""asset_name"",""note"":""name clipped at right edge of scan"",""read"":""THE CITY OF NEW YORK GO 5.0000% 08/01/22 FA GEN OBLIGATION BD FISCAL 20..."",""row"":41}",docs/2016-1/text/page-090.json
uncertainty:2016-1:0091:001,page:2016-1:0091,2016,2016-1,91,"{""field"":""asset_name"",""note"":""name runs off right edge of name column; trailing text cut"",""read"":""N Y ST DORM AUTH REVS REV 5.0000% 07/01/22 JJ NEW YORK UNIVERSITY REVEN"",""row"":1}",docs/2016-1/text/page-091.json
uncertainty:2016-1:0091:002,page:2016-1:0091,2016,2016-1,91,"{""field"":""asset_name"",""note"":""name truncated at column edge; last visible characters unclear (RESTRUCTI/RESTRUCT)"",""read"":""UTILITY DEBT SECURITIZATION REV 5.0000% 06/15/22-CA JD AUTH N Y RESTRUCTI"",""row"":2}",docs/2016-1/text/page-091.json
uncertainty:2016-1:0091:003,page:2016-1:0091,2016,2016-1,91,"{""field"":""asset_name"",""note"":""final character after '2002-' partially cut; likely 'A'; tesseract read '2002-4'"",""read"":""BVRLY HLS CMNTY FCS DST SPL TX REV 3.0000% 09/01/21-CA MS RFDG-NO 2002-A"",""row"":41}",docs/2016-1/text/page-091.json
uncertainty:2016-1:0092:001,page:2016-1:0092,2016,2016-1,92,"{""field"":""income_types"",""note"":""X sits under Interest column, slightly smudged; tesseract read '4' — confirmed as X from quadrant crop"",""read"":""INTEREST"",""row"":2}",docs/2016-1/text/page-092.json
uncertainty:2016-1:0092:002,page:2016-1:0092,2016,2016-1,92,"{""field"":""income_types"",""note"":""X is in the None column (leftmost income column); tesseract rendered it as '4'"",""read"":""None"",""row"":8}",docs/2016-1/text/page-092.json
uncertainty:2016-1:0093:001,page:2016-1:0093,2016,2016-1,93,"{""field"":""amount_of_income_preceding_year"",""note"":""X sits slightly high between MORGAN STANLEY and MICROSOFT rows in the BR crop; full-page alignment puts it on the MICROSOFT row under the 50,001/100,000 column"",""read"":""$50,001-$100,000"",""row"":36}",docs/2016-1/text/page-093.json
uncertainty:2016-1:0093:002,page:2016-1:0093,2016,2016-1,93,"{""field"":""asset_name"",""note"":""tesseract read '06/25/22' here but '06/15/22' on companion pages 91-92; quadrant crop reads 06/15/22"",""read"":""UTILITY DEBT SECURITIZATION REV 5.0000% 06/15/22-CA JD AUTH N Y RESTRUCTI"",""row"":2}",docs/2016-1/text/page-093.json
uncertainty:2016-1:0094:001,page:2016-1:0094,2016,2016-1,94,"{""field"":""asset_name"",""note"":""quadrant crop reads 12/01/21; tesseract read 12/01/22 — 21 preferred from hi-res crop"",""read"":""LOS ANGELES CNTY CALIF REDEV REV 5.0000% 12/01/21-CA JD RFDG-COVINA REV"",""row"":7}",docs/2016-1/text/page-094.json
uncertainty:2016-1:0094:002,page:2016-1:0094,2016,2016-1,94,"{""field"":""asset_name"",""note"":""quadrant crop reads 09/01/19; tesseract read 05/01/19"",""read"":""SUCCESSOR AGY TO UPLAND CMNTY GO 4.0000% 09/01/19 MS REDEV AGY RFDG-"",""row"":12}",docs/2016-1/text/page-094.json
uncertainty:2016-1:0094:003,page:2016-1:0094,2016,2016-1,94,"{""field"":""asset_name"",""note"":""final truncated fragment could be 'SI' or 'SE'"",""read"":""OHIO ST MAJOR NEW ST REV 5.0000% 06/15/16 JD INFRASTRUCTURE PROJ REV SE"",""row"":23}",docs/2016-1/text/page-094.json
uncertainty:2016-1:0095:001,page:2016-1:0095,2016,2016-1,95,"{""field"":""income_types"",""note"":""NIELSEN HLDGS: Dividends X confirmed in BL hi-res crop; Capital Gains X sits slightly below the row baseline in BR crop but aligns with NIELSEN row, not NORTHROP"",""read"":""DIVIDENDS, CAPITAL GAINS"",""row"":37}",docs/2016-1/text/page-095.json
uncertainty:2016-1:0095:002,page:2016-1:0095,2016,2016-1,95,"{""field"":""income_types"",""note"":""Capital Gains X is slightly below the Interest X baseline but clearly on the WEST ALLEGHENY row (last bond row)"",""read"":""INTEREST, CAPITAL GAINS (WEST ALLEGHENY row)"",""row"":23}",docs/2016-1/text/page-095.json
uncertainty:2016-1:0096:001,page:2016-1:0096,2016,2016-1,96,"{""field"":""amount_of_income_preceding_year"",""note"":""NORWEGIAN CRUISE LINE: X clearly in the 1/200 column in BL hi-res crop even though its only income type (page 95) is Capital Gains"",""read"":""$1-$200"",""row"":29}",docs/2016-1/text/page-096.json
uncertainty:2016-1:0099:001,page:2016-1:0099,2016,2016-1,99,"{""field"":""amount_of_income"",""note"":""X sits one full column right of the $5,001-$15,000 marks (PFIZER/ORACLE rows); column position verified against header spacing, but amount is large relative to the asset's value bucket on page 97"",""read"":""$15,001-$50,000"",""row"":26}",docs/2016-1/text/page-099.json
uncertainty:2016-1:0099:002,page:2016-1:0099,2016,2016-1,99,"{""field"":""amount_of_income"",""note"":""same column as PEPSICO row; verified against header spacing"",""read"":""$15,001-$50,000"",""row"":29}",docs/2016-1/text/page-099.json
uncertainty:2016-1:0100:001,page:2016-1:0100,2016,2016-1,100,"{""field"":""asset_name"",""note"":""structured-note name runs off right edge of name column; last visible characters 'LEVEI' likely 'LEVEL...'; tesseract agrees 'UPSIDE LEVEI'"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO RUSSELL 2000 INDEX UPSIDE LEVEI"",""row"":27}",docs/2016-1/text/page-100.json
uncertainty:2016-1:0100:002,page:2016-1:0100,2016,2016-1,100,"{""field"":""asset_name"",""note"":""ISIN digits partly ambiguous 0/O in scan; tesseract read 'LROOO8862868'; transcribed as printed with zeros"",""read"":""ROYAL CARIBBEAN CRUISES LTD ISIN: LR0008862868"",""row"":12}",docs/2016-1/text/page-100.json
uncertainty:2016-1:0103:001,page:2016-1:0103,2016,2016-1,103,"{""field"":""asset_name"",""note"":""name truncated at right edge of name column; last visible characters unclear (W I / W E; tesseract read 'W E')"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO S&P 500 INDEX CNTNGNT CPN W I"",""row"":7}",docs/2016-1/text/page-103.json
uncertainty:2016-1:0103:002,page:2016-1:0103,2016,2016-1,103,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO S&P 500 INDEX DUAL DIRECTIONA"",""row"":8}",docs/2016-1/text/page-103.json
uncertainty:2016-1:0103:003,page:2016-1:0103,2016,2016-1,103,"{""field"":""asset_name"",""note"":""name truncated at column edge; identical visible text to previous row"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO S&P 500 INDEX DUAL DIRECTIONA"",""row"":9}",docs/2016-1/text/page-103.json
uncertainty:2016-1:0103:004,page:2016-1:0103,2016,2016-1,103,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO S&P 500 INDEX UPSIDE LEVERED C"",""row"":10}",docs/2016-1/text/page-103.json
uncertainty:2016-1:0103:005,page:2016-1:0103,2016,2016-1,103,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO EURO STOXX 50 PR CNTNGNT CPN"",""row"":20}",docs/2016-1/text/page-103.json
uncertainty:2016-1:0103:006,page:2016-1:0103,2016,2016-1,103,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO EURO STOXX 50 PR DUAL DIRECTIC"",""row"":21}",docs/2016-1/text/page-103.json
uncertainty:2016-1:0103:007,page:2016-1:0103,2016,2016-1,103,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO EURO STOXX 50 PR UPSIDE LEVERE"",""row"":22}",docs/2016-1/text/page-103.json
uncertainty:2016-1:0104:001,page:2016-1:0104,2016,2016-1,104,"{""field"":""asset_name"",""note"":""name truncated at right edge of name column; last visible characters unclear (W I / W E)"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO S&P 500 INDEX CNTNGNT CPN W I"",""row"":7}",docs/2016-1/text/page-104.json
uncertainty:2016-1:0104:002,page:2016-1:0104,2016,2016-1,104,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO S&P 500 INDEX DUAL DIRECTIONA"",""row"":8}",docs/2016-1/text/page-104.json
uncertainty:2016-1:0104:003,page:2016-1:0104,2016,2016-1,104,"{""field"":""asset_name"",""note"":""name truncated at column edge; identical visible text to previous row"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO S&P 500 INDEX DUAL DIRECTIONA"",""row"":9}",docs/2016-1/text/page-104.json
uncertainty:2016-1:0104:004,page:2016-1:0104,2016,2016-1,104,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO S&P 500 INDEX UPSIDE LEVERED C"",""row"":10}",docs/2016-1/text/page-104.json
uncertainty:2016-1:0104:005,page:2016-1:0104,2016,2016-1,104,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO EURO STOXX 50 PR CNTNGNT CPN"",""row"":20}",docs/2016-1/text/page-104.json
uncertainty:2016-1:0104:006,page:2016-1:0104,2016,2016-1,104,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO EURO STOXX 50 PR DUAL DIRECTIC"",""row"":21}",docs/2016-1/text/page-104.json
uncertainty:2016-1:0104:007,page:2016-1:0104,2016,2016-1,104,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO EURO STOXX 50 PR UPSIDE LEVERE"",""row"":22}",docs/2016-1/text/page-104.json
uncertainty:2016-1:0104:008,page:2016-1:0104,2016,2016-1,104,"{""field"":""other_income_spec"",""note"":""X sits under the printed 'Partnership Income' column header; recorded as other_income_spec per schema"",""read"":""Partnership Income"",""row"":39}",docs/2016-1/text/page-104.json
uncertainty:2016-1:0105:001,page:2016-1:0105,2016,2016-1,105,"{""field"":""asset_name"",""note"":""name truncated at right edge of name column; last visible characters unclear (W I / W E)"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO S&P 500 INDEX CNTNGNT CPN W I"",""row"":7}",docs/2016-1/text/page-105.json
uncertainty:2016-1:0105:002,page:2016-1:0105,2016,2016-1,105,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO S&P 500 INDEX DUAL DIRECTIONA"",""row"":8}",docs/2016-1/text/page-105.json
uncertainty:2016-1:0105:003,page:2016-1:0105,2016,2016-1,105,"{""field"":""asset_name"",""note"":""name truncated at column edge; identical visible text to previous row"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO S&P 500 INDEX DUAL DIRECTIONA"",""row"":9}",docs/2016-1/text/page-105.json
uncertainty:2016-1:0105:004,page:2016-1:0105,2016,2016-1,105,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO S&P 500 INDEX UPSIDE LEVERED C"",""row"":10}",docs/2016-1/text/page-105.json
uncertainty:2016-1:0105:005,page:2016-1:0105,2016,2016-1,105,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO EURO STOXX 50 PR CNTNGNT CPN"",""row"":20}",docs/2016-1/text/page-105.json
uncertainty:2016-1:0105:006,page:2016-1:0105,2016,2016-1,105,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO EURO STOXX 50 PR DUAL DIRECTIC"",""row"":21}",docs/2016-1/text/page-105.json
uncertainty:2016-1:0105:007,page:2016-1:0105,2016,2016-1,105,"{""field"":""asset_name"",""note"":""name truncated at column edge"",""read"":""THE GOLDMAN SACHS GROUP, INC. LINKED TO EURO STOXX 50 PR UPSIDE LEVERE"",""row"":22}",docs/2016-1/text/page-105.json
uncertainty:2016-1:0108:001,page:2016-1:0108,2016,2016-1,108,"{""field"":""amount_of_income"",""note"":""TEXTRON INC.DEL. CMN row has no X in any amount-of-income column on this page (verified in full page, TL and TR crops); companion Type of Income page (107) marks DIVIDENDS for this asset, so an X may have been omitted by the preparer"",""read"":null,""row"":9}",docs/2016-1/text/page-108.json
