page_id,year,document_id,document_page_number,printed_label,section,page_type,page_type_raw,confidence,free_text,row_count,uncertainty_count,page_image_path,source_json_path,tesseract_text_path
page:2016-1:0011,2016,2016-1,11,11/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Custom typed spreadsheet layout (footer: 'MS M R Schedule A 12.31.16'): assets are COLUMNS (4 on this page), attributes are rows; filled (blacked-out) cells mark selections. EIF row blank for all columns. No Block E transaction column, so transaction is null. Amount of Income appears twice: 'Current Year' and 'Preceding Year January 1, 2016 - December 31, 2016', recorded as amount_of_income_current_year / amount_of_income_preceding_year. Header: 'Name: Rohit Khanna', 'Page ___ of ___' (blank).",4,1,docs/2016-1/pages/page-011.jpg,docs/2016-1/text/page-011.json,docs/2016-1/tess/page-011.txt
page:2016-1:0012,2016,2016-1,12,12/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Custom typed spreadsheet layout (footer: 'MS M R Schedule A 12.31.16'): assets are COLUMNS (3 on this page), attributes are rows; filled (blacked-out) cells mark selections. EIF row blank for all columns. No Block E transaction column, so transaction is null. Amount of Income appears twice: 'Current Year' and 'Preceding Year January 1, 2016 - December 31, 2016', recorded as amount_of_income_current_year / amount_of_income_preceding_year. Header: 'Name: Rohit Khanna', 'Page ___ of ___' (blank).",3,0,docs/2016-1/pages/page-012.jpg,docs/2016-1/text/page-012.json,docs/2016-1/tess/page-012.txt
page:2016-1:0013,2016,2016-1,13,13/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,Footer: MS M R Schedule A 12.31.16. Page header fields 'Page ___ of ___' left blank.,5,2,docs/2016-1/pages/page-013.jpg,docs/2016-1/text/page-013.json,docs/2016-1/tess/page-013.txt
page:2016-1:0014,2016,2016-1,14,14/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,Footer: MS M R Schedule A 12.31.16. Page header fields 'Page ___ of ___' left blank. All six assets marked None/None/None/None across all four blocks (continuous black bars spanning all columns).,6,0,docs/2016-1/pages/page-014.jpg,docs/2016-1/text/page-014.json,docs/2016-1/tess/page-014.txt
page:2016-1:0015,2016,2016-1,15,15/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,Footer: MS M R Schedule A 12.31.16. Page header fields 'Page ___ of ___' left blank. All five assets marked None across all four blocks (continuous black bars spanning all columns).,5,0,docs/2016-1/pages/page-015.jpg,docs/2016-1/text/page-015.json,docs/2016-1/tess/page-015.txt
page:2016-1:0016,2016,2016-1,16,16/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,Footer: MS M R Schedule A 12.31.16. Page header fields 'Page ___ of ___' left blank. All six assets marked None across all four blocks (continuous black bars spanning all columns).,6,0,docs/2016-1/pages/page-016.jpg,docs/2016-1/text/page-016.json,docs/2016-1/tess/page-016.txt
page:2016-1:0017,2016,2016-1,17,17/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,Footer: MS M R Schedule A 12.31.16. Page header fields 'Page ___ of ___' left blank. All five assets marked None across all four blocks (continuous black bars spanning all columns).,5,1,docs/2016-1/pages/page-017.jpg,docs/2016-1/text/page-017.json,docs/2016-1/tess/page-017.txt
page:2016-1:0018,2016,2016-1,18,18/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,Footer: MS M R Schedule A 12.31.16. Page header fields 'Page ___ of ___' left blank. All five assets marked None across all four blocks (continuous black bars spanning all columns).,5,0,docs/2016-1/pages/page-018.jpg,docs/2016-1/text/page-018.json,docs/2016-1/tess/page-018.txt
page:2016-1:0019,2016,2016-1,19,19/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Spreadsheet-style attachment page (footer: ""MS M R Schedule A 12.31.16""). Transposed grid: each COLUMN is one asset; rows are the bucket labels. Selections are indicated by solid BLACK-FILLED cells (convention confirmed on page 13 of this document, where fills vary by column). Blocks: Value of Asset (A: None ... L: Over $50,000,000, Spouse/DC Asset over $1,000,000); Type of Income (None/Dividends/Rent/Interest/Capital Gains/Excepted/Blind Trust/Tax-Deferred/Other Type of Income); Amount of Income: Current Year; Amount of Income: Preceding Year January 1, 2016 - December 31, 2016. Bucket labels carry letter prefixes (""A:"", ""B:"", ...) which are stripped in `value`/amount fields. EIF row blank for all columns. All four assets on this page: black fill on the None row of every block; no other cells filled. ""Page ___ of ___"" left blank.",4,0,docs/2016-1/pages/page-019.jpg,docs/2016-1/text/page-019.json,docs/2016-1/tess/page-019.txt
page:2016-1:0020,2016,2016-1,20,20/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Spreadsheet-style attachment page (footer: ""MS M R Schedule A 12.31.16""). Transposed grid: each COLUMN is one asset; selections indicated by solid black-filled cells. Blocks: Value of Asset; Type of Income; Amount of Income: Current Year; Amount of Income: Preceding Year January 1, 2016 - December 31, 2016. Bucket labels carry letter prefixes (""A:"", ""B:"", ...) which are stripped in value/amount fields. EIF row blank for all columns. All three assets on this page: black fill on the None row of every block; no other cells filled. ""Page ___ of ___"" left blank.",3,1,docs/2016-1/pages/page-020.jpg,docs/2016-1/text/page-020.json,docs/2016-1/tess/page-020.txt
page:2016-1:0021,2016,2016-1,21,21/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Spreadsheet-style attachment page (footer: ""MS M R Schedule A 12.31.16""). Transposed grid: each COLUMN is one asset; selections indicated by solid black-filled cells. Blocks: Value of Asset; Type of Income; Amount of Income: Current Year; Amount of Income: Preceding Year January 1, 2016 - December 31, 2016. Bucket labels carry letter prefixes (""A:"", ""B:"", ...) which are stripped in value/amount fields. EIF row blank for all columns. All four assets on this page: black fill on the None row of every block; no other cells filled. ""Page ___ of ___"" left blank.",4,0,docs/2016-1/pages/page-021.jpg,docs/2016-1/text/page-021.json,docs/2016-1/tess/page-021.txt
page:2016-1:0022,2016,2016-1,22,22/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Spreadsheet-style attachment page (footer: ""MS M R Schedule A 12.31.16""). Transposed grid: each COLUMN is one asset; selections indicated by solid black-filled cells. Blocks: Value of Asset; Type of Income; Amount of Income: Current Year; Amount of Income: Preceding Year January 1, 2016 - December 31, 2016. Bucket labels carry letter prefixes (""A:"", ""B:"", ...) which are stripped in value/amount fields. EIF row blank for all columns. All five assets on this page: black fill on the None row of every block; no other cells filled. ""Page ___ of ___"" left blank.",5,0,docs/2016-1/pages/page-022.jpg,docs/2016-1/text/page-022.json,docs/2016-1/tess/page-022.txt
page:2016-1:0023,2016,2016-1,23,23/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Spreadsheet-style attachment page (footer: ""MS M R Schedule A 12.31.16""). Transposed grid: each COLUMN is one asset; selections indicated by solid black-filled cells. Blocks: Value of Asset; Type of Income; Amount of Income: Current Year; Amount of Income: Preceding Year January 1, 2016 - December 31, 2016. Bucket labels carry letter prefixes (""A:"", ""B:"", ...) which are stripped in value/amount fields. EIF row blank for all columns. All four assets on this page: black fill on the None row of every block; no other cells filled. ""Page ___ of ___"" left blank.",4,0,docs/2016-1/pages/page-023.jpg,docs/2016-1/text/page-023.json,docs/2016-1/tess/page-023.txt
page:2016-1:0024,2016,2016-1,24,24/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Spreadsheet-style attachment page (footer: ""MS M R Schedule A 12.31.16""). Transposed grid: each COLUMN is one asset; selections indicated by solid black-filled cells. Blocks: Value of Asset; Type of Income; Amount of Income: Current Year; Amount of Income: Preceding Year January 1, 2016 - December 31, 2016. Bucket labels carry letter prefixes (""A:"", ""B:"", ...) which are stripped in value/amount fields. EIF row blank for all columns. All seven assets on this page: black fill on the None row of every block; no other cells filled. ""Page ___ of ___"" left blank.",7,0,docs/2016-1/pages/page-024.jpg,docs/2016-1/text/page-024.json,docs/2016-1/tess/page-024.txt
page:2016-1:0025,2016,2016-1,25,25/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Typed attachment grid (transposed layout, footer 'MS M R Schedule A 12.31.16'): field labels run down the left (EIF; SP, DC, JT; Stock Name; Ticker; Value of Asset buckets A: None through L: Over $50,000,000 plus Spouse/DC Asset over $1,000,000; Type of Income: None/Dividends/Rent/Interest/Capital Gains/Excepted/Blind Trust/Tax-Deferred/Other Type of Income; Amount of Income: Current Year buckets A: None through K: Over $5,000,000 plus Spouse/DC Income over $1,000,000; Amount of Income: Preceding Year January 1, 2016 - December 31, 2016, same buckets). One asset per column; selections are black-filled cells. This page has a single asset column. EIF row is blank for this asset. Header: 'Name: Rohit Khanna', 'Page ___ of ___' (blank).",1,0,docs/2016-1/pages/page-025.jpg,docs/2016-1/text/page-025.json,docs/2016-1/tess/page-025.txt
page:2016-1:0026,2016,2016-1,26,26/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Typed attachment grid (transposed layout, footer 'MS M R Schedule A 12.31.16'): one asset per column, three asset columns on this page; selections are black-filled cells. EIF row has a checkmark for all three columns. Ticker row blank for all three. For all three assets the black band covers both 'Other Type of Income' (Type of Income block) and 'A: None' (Amount of Income: Current Year block). Header: 'Name: Rohit Khanna', 'Page ___ of ___' (blank).",3,1,docs/2016-1/pages/page-026.jpg,docs/2016-1/text/page-026.json,docs/2016-1/tess/page-026.txt
page:2016-1:0027,2016,2016-1,27,27/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Typed attachment grid (transposed layout, footer 'MS M R Schedule A 12.31.16'): one asset column on this page; selections are black-filled cells. EIF row has a checkmark. Ticker row blank. Header: 'Name: Rohit Khanna', 'Page ___ of ___' (blank).",1,1,docs/2016-1/pages/page-027.jpg,docs/2016-1/text/page-027.json,docs/2016-1/tess/page-027.txt
page:2016-1:0028,2016,2016-1,28,28/116,"Schedule A - Assets and ""unearned Income""",schedule_a,schedule_a,high,"Typed attachment grid (transposed layout, footer 'MS ARECO Schedule A 12.31.16'): one asset per column, seven asset columns; selections are black-filled cells. EIF row blank for all columns. Value of Asset row 'A: None' is black-filled across all seven columns; Amount of Income: Current Year 'A: None' is black-filled across all seven columns. Header: 'Name: Rohit Khanna', 'Page ___ of ___' (blank).",7,1,docs/2016-1/pages/page-028.jpg,docs/2016-1/text/page-028.json,docs/2016-1/tess/page-028.txt
page:2016-1:0029,2016,2016-1,29,29/116,"Schedule A - Assets and ""unearned Income""",schedule_a,schedule_a,high,"Typed attachment grid (transposed layout, footer 'MS ARECO Schedule A 12.31.16'): one asset per column, seven asset columns; selections are black-filled cells. EIF row blank for all columns. Value of Asset 'A: None' black-filled across all seven columns; Amount of Income: Current Year 'A: None' black-filled across all seven columns. The Capital Gains band spans columns 1-6 (Intuitive Surgical through CME Group) but not McGraw Hill Financial; the Dividends marks cover Gilead Sciences, CME Group, and McGraw Hill Financial. Header: 'Name: Rohit Khanna', 'Page ___ of ___' (blank).",7,0,docs/2016-1/pages/page-029.jpg,docs/2016-1/text/page-029.json,docs/2016-1/tess/page-029.txt
page:2016-1:0030,2016,2016-1,30,30/116,"Schedule A - Assets and ""unearned Income""",schedule_a,schedule_a,high,"Typed attachment grid (transposed layout, footer 'MS ARECO Schedule A 12.31.16'): one asset per column, seven asset columns; selections are black-filled cells. EIF row blank for all columns. Value of Asset 'A: None' black-filled across all seven columns; Amount of Income: Current Year 'A: None' black-filled across all seven columns. Dividends band covers columns 1-4 (S&P Global through Equinix); Capital Gains band covers all seven columns. Preceding-year row F band covers columns 2-6 (Charles Schwab through Alphabet Inc CL C); row E marked for S&P Global and Facebook. Header: 'Name: Rohit Khanna', 'Page ___ of ___' (blank).",7,0,docs/2016-1/pages/page-030.jpg,docs/2016-1/text/page-030.json,docs/2016-1/tess/page-030.txt
page:2016-1:0031,2016,2016-1,31,31/116,"Schedule A - Assets and ""unearned Income""",schedule_a,schedule_a,high,"Typed attachment grid (MS ARECO Schedule A 12.31.16): assets are columns; rows are attribute buckets (Value of Asset A-L + Spouse/DC Asset over $1,000,000; Type of Income; Amount of Income: Current Year A-K + Spouse/DC Income over $1,000,000; Amount of Income: Preceding Year January 1, 2016 - December 31, 2016). Filled black cells mark the selected bucket per asset. EIF row blank for all columns. Value of Asset = A: None for all five assets; Amount of Income Current Year = A: None for all five. Page __ of __ blank in header.",5,0,docs/2016-1/pages/page-031.jpg,docs/2016-1/text/page-031.json,docs/2016-1/tess/page-031.txt
page:2016-1:0032,2016,2016-1,32,32/116,"Schedule A - Assets and ""unearned Income""",schedule_a,schedule_a,high,"Typed attachment grid (MS ARECO Schedule A 12.31.16): assets are columns; rows are attribute buckets (Value of Asset A-L + Spouse/DC Asset over $1,000,000; Type of Income; Amount of Income: Current Year; Amount of Income: Preceding Year January 1, 2016 - December 31, 2016). EIF row blank for all columns. Value of Asset = A: None for all three assets; Amount of Income Current Year = A: None for all three. Page __ of __ blank in header.",3,0,docs/2016-1/pages/page-032.jpg,docs/2016-1/text/page-032.json,docs/2016-1/tess/page-032.txt
page:2016-1:0033,2016,2016-1,33,33/116,"Schedule A - Assets and ""unearned Income""",schedule_a,schedule_a,high,"Typed attachment grid (MS ARECO Schedule A 12.31.16): assets are columns; rows are attribute buckets (Value of Asset; Type of Income; Amount of Income: Current Year; Amount of Income: Preceding Year January 1, 2016 - December 31, 2016). EIF row blank for all columns. Value of Asset = A: None for all three assets; Amount of Income Current Year = A: None for all three. Page __ of __ blank in header.",3,0,docs/2016-1/pages/page-033.jpg,docs/2016-1/text/page-033.json,docs/2016-1/tess/page-033.txt
page:2016-1:0034,2016,2016-1,34,34/116,"Schedule A - Assets and ""unearned Income""",schedule_a,schedule_a,high,"Typed attachment grid (MS ARECO Schedule A 12.31.16): assets are columns; rows are attribute buckets (Value of Asset; Type of Income; Amount of Income: Current Year; Amount of Income: Preceding Year January 1, 2016 - December 31, 2016). EIF row blank for all columns. Value of Asset = A: None for all three assets; Amount of Income Current Year = A: None for all three. Page __ of __ blank in header.",3,0,docs/2016-1/pages/page-034.jpg,docs/2016-1/text/page-034.json,docs/2016-1/tess/page-034.txt
page:2016-1:0035,2016,2016-1,35,35/116,"Schedule A - Assets and ""unearned Income""",schedule_a,schedule_a,high,"Typed attachment grid (MS ARECO Schedule A 12.31.16): assets are columns; rows are attribute buckets (Value of Asset; Type of Income; Amount of Income: Current Year; Amount of Income: Preceding Year January 1, 2016 - December 31, 2016). EIF row blank for all columns. Value of Asset = A: None for all three assets; Amount of Income Current Year = A: None for all three. Page __ of __ blank in header.",3,0,docs/2016-1/pages/page-035.jpg,docs/2016-1/text/page-035.json,docs/2016-1/tess/page-035.txt
page:2016-1:0036,2016,2016-1,36,36/116,"Schedule A - Assets and ""unearned Income""",schedule_a,schedule_a,high,"Typed attachment grid (MS ARECO Schedule A 12.31.16): assets are columns; rows are attribute buckets (Value of Asset; Type of Income; Amount of Income: Current Year; Amount of Income: Preceding Year January 1, 2016 - December 31, 2016). EIF row blank for all columns. Value of Asset = A: None for all three assets; Amount of Income Current Year = A: None for all three. Page __ of __ blank in header.",3,1,docs/2016-1/pages/page-036.jpg,docs/2016-1/text/page-036.json,docs/2016-1/tess/page-036.txt
page:2016-1:0037,2016,2016-1,37,37/116,"Schedule A - Assets and ""unearned Income"" (MS ARECO Schedule A 12.31.16 grid attachment)",schedule_a,schedule_a,high,"Transposed grid attachment: each column is one asset; rows are checkbox buckets filled solid black. Row groups: EIF (blank for all columns); SP, DC, JT; Stock Name; Ticker; Value of Asset (A: None ... L: Over $50,000,000, Spouse/DC Asset over $1,000,000); Type of Income (None, Dividends, Rent, Interest, Capital Gains, Excepted/Blind Trust, Tax-Deferred, Other Type of Income); Amount of Income: Current Year (A: None ... K: Over $5,000,000, Spouse/DC Income over $1,000,000); Amount of Income: Preceding Year January 1, 2016 - December 31, 2016 (same buckets). Footer: MS ARECO Schedule A 12.31.16. Name: Rohit Khanna. Page ___ of ___ blank.",3,0,docs/2016-1/pages/page-037.jpg,docs/2016-1/text/page-037.json,docs/2016-1/tess/page-037.txt
page:2016-1:0038,2016,2016-1,38,38/116,"Schedule A - Assets and ""unearned Income"" (MS ARECO Schedule A 12.31.16 grid attachment)",schedule_a,schedule_a,high,"Transposed grid attachment (assets as columns, checkbox buckets as rows, filled solid black). Ticker cell for Hope Bancorp Inc is blank. Footer: MS ARECO Schedule A 12.31.16. Name: Rohit Khanna. Page ___ of ___ blank.",3,0,docs/2016-1/pages/page-038.jpg,docs/2016-1/text/page-038.json,docs/2016-1/tess/page-038.txt
page:2016-1:0039,2016,2016-1,39,39/116,"Schedule A - Assets and ""unearned Income"" (MS ARECO Schedule A 12.31.16 grid attachment)",schedule_a,schedule_a,high,"Transposed grid attachment (assets as columns, checkbox buckets as rows, filled solid black). Footer: MS ARECO Schedule A 12.31.16. Name: Rohit Khanna. Page ___ of ___ blank.",3,0,docs/2016-1/pages/page-039.jpg,docs/2016-1/text/page-039.json,docs/2016-1/tess/page-039.txt
page:2016-1:0040,2016,2016-1,40,40/116,"Schedule A - Assets and ""unearned Income"" (MS ARECO Schedule A 12.31.16 grid attachment)",schedule_a,schedule_a,high,"Transposed grid attachment (assets as columns, checkbox buckets as rows, filled solid black). Footer: MS ARECO Schedule A 12.31.16. Name: Rohit Khanna. Page ___ of ___ blank.",3,1,docs/2016-1/pages/page-040.jpg,docs/2016-1/text/page-040.json,docs/2016-1/tess/page-040.txt
page:2016-1:0041,2016,2016-1,41,41/116,"Schedule A - Assets and ""unearned Income"" (MS ARECO Schedule A 12.31.16 grid attachment)",schedule_a,schedule_a,high,"Transposed grid attachment (assets as columns, checkbox buckets as rows, filled solid black). Footer: MS ARECO Schedule A 12.31.16. Name: Rohit Khanna. Page ___ of ___ blank.",3,0,docs/2016-1/pages/page-041.jpg,docs/2016-1/text/page-041.json,docs/2016-1/tess/page-041.txt
page:2016-1:0042,2016,2016-1,42,42/116,"Schedule A - Assets and ""unearned Income"" (MS ARECO Schedule A 12.31.16 grid attachment)",schedule_a,schedule_a,high,"Transposed grid attachment (assets as columns, checkbox buckets as rows, filled solid black). Footer: MS ARECO Schedule A 12.31.16. Name: Rohit Khanna. Page ___ of ___ blank.",3,1,docs/2016-1/pages/page-042.jpg,docs/2016-1/text/page-042.json,docs/2016-1/tess/page-042.txt
